Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;Abgabe
4127;19911001;20250619;347;   50.9906;   7.6958; Reichshof-Eckenhagen; Nordrhein-Westfalen;  Frei
4149;19470101;19640331;774;   50.5477;  13.2239; Marienberg-Reitzenhain; Sachsen;  Frei
4152;19710101;19771231;760;   47.6783;   8.1527; Remetschwiel; Baden-Württemberg;  Frei
4154;20110201;20180630;345;   51.1800;   7.2505; Remscheid-Lennep; Nordrhein-Westfalen;  Frei
4156;19731001;19980228;8;   54.2878;   9.6749; Rendsburg; Schleswig-Holstein;  Frei
4157;19850601;20031130;315;   50.5052;   7.4881; Rengsdorf (Kurort); Rheinland-Pfalz;  Frei
4160;19701222;20250619;478;   48.7425;   8.9240; Renningen-Ihinger Hof; Baden-Württemberg;  Frei
4166;19880501;20021231;360;   48.5051;   9.1833; Reutlingen-Betzingen; Baden-Württemberg;  Frei
4169;19580101;20250619;131;   48.6703;   7.9939; Rheinau-Memprechtshofen; Baden-Württemberg;  Frei
4174;19710101;20171220;40;   52.2887;   7.3866; Rheine-Bentlage; Nordrhein-Westfalen;  Frei
4175;19530901;20250619;283;   47.5590;   7.7721; Rheinfelden; Baden-Württemberg;  Frei
4177;19480101;20250619;116;   48.9726;   8.3301; Rheinstetten; Baden-Württemberg;  Frei
4189;20040801;20250619;534;   48.1479;   9.4596; Altheim, Kreis Biberach; Baden-Württemberg;  Frei
4222;19630101;20060131;464;   50.5263;  12.4091; Rodewisch; Sachsen;  Frei
4225;19790601;20190412;373;   49.2195;  12.5360; Roding-Wetterfeld; Bayern;  Frei
4233;19360403;19531130;397;   50.3833;   9.5167; Röhrigshof bei Schlüchtern; Hessen;  Frei
4240;19480101;19920930;440;   50.6407;   6.2058; Roetgen; Nordrhein-Westfalen;  Frei
4249;19471101;19871231;250;   51.0681;  11.3969; Rohrbach; Thüringen;  Frei
4261;19500101;20240412;444;   47.8819;  12.1249; Rosenheim; Bayern;  Frei
4270;19000101;19651231;20;   54.0826;  12.1228; Rostock; Mecklenburg-Vorpommern;  Frei
4271;19470101;20250619;5;   54.1803;  12.0808; Rostock-Warnemünde; Mecklenburg-Vorpommern;  Frei
4275;19460101;20250619;32;   53.1289;   9.3398; Rotenburg (Wümme); Niedersachsen;  Frei
4278;19510101;20081231;340;   49.2511;  11.0934; Roth bei Nürnberg; Bayern;  Frei
4279;19890418;20250619;593;   50.3046;   6.3863; Roth bei Prüm; Rheinland-Pfalz;  Frei
4280;19710101;20250619;386;   49.2162;  11.1035; Roth; Bayern;  Frei
4287;19470601;20250619;415;   49.3849;  10.1732; Rothenburg ob der Tauber; Bayern;  Frei
4288;19510101;19750831;96;   52.1038;   8.1809; Rothenfelde, Bad; Niedersachsen;  Frei
4293;19580101;20051130;747;   47.6819;  11.7714; Rottach-Egern; Bayern;  Frei
4294;19790701;20021031;360;   48.4704;   8.9687; Rottenburg-Kiebingen; Baden-Württemberg;  Frei
4300;19570201;20250619;588;   48.1815;   8.6356; Rottweil; Baden-Württemberg;  Frei
4301;19470101;20250619;102;   49.8502;   7.8710; Kreuznach, Bad; Rheinland-Pfalz;  Frei
4318;19710601;20061231;692;   47.7310;  12.6610; Ruhpolding; Bayern;  Frei
